annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,image_id,filename,image_longitude,image_latitude,shape_id,shape_name,points,attributes,annotation_id
169288,639,Actiniaria,"Cnidaria > Hexacorallia > Actiniaria",52,Marin,MARCILLAT,112292,20190404T030509.627385Z.jpg,-176.5684404,-21.98905775,4,Circle,"[1245.12,1126.34,115.02]","{""size"":9736113,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""1.6"",""yaw"":""130.49""}}",128549
169295,719,unknown,unknown,52,Marin,MARCILLAT,112292,20190404T030509.627385Z.jpg,-176.5684404,-21.98905775,4,Circle,"[507.57,1733.52,71.63]","{""size"":9736113,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""1.6"",""yaw"":""130.49""}}",128556
169296,639,Actiniaria,"Cnidaria > Hexacorallia > Actiniaria",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[2727.54,1877.44,67.95]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128557
169297,639,Actiniaria,"Cnidaria > Hexacorallia > Actiniaria",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[2110.84,2862.55,57.95]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128558
169298,639,Actiniaria,"Cnidaria > Hexacorallia > Actiniaria",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[1826.66,2455.32,57.6]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128559
169299,639,Actiniaria,"Cnidaria > Hexacorallia > Actiniaria",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[2772.69,3823.69,47.4]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128560
169300,639,Actiniaria,"Cnidaria > Hexacorallia > Actiniaria",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[4850.1,542.24,67.72]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128561
169301,639,Actiniaria,"Cnidaria > Hexacorallia > Actiniaria",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[3007.33,2878.66,71]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128562
169302,647,brachyura,"Arthropoda > Decapoda > brachyura",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[3152.34,2768.07,94.89]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128563
169303,647,brachyura,"Arthropoda > Decapoda > brachyura",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[3067.38,3559.08,96.72]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128564
169304,647,brachyura,"Arthropoda > Decapoda > brachyura",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[826.17,600.83,109.32]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128565
169305,647,brachyura,"Arthropoda > Decapoda > brachyura",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[2339.36,3720.95,60.34]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128566
169306,647,brachyura,"Arthropoda > Decapoda > brachyura",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[4320.56,2558.23,73.72]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128567
169307,647,brachyura,"Arthropoda > Decapoda > brachyura",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[4448.73,2135.99,56.14]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128568
169309,647,brachyura,"Arthropoda > Decapoda > brachyura",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[2121.83,284.06,62.29]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128570
169311,639,Actiniaria,"Cnidaria > Hexacorallia > Actiniaria",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[215.33,1777.1,52.02]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128572
169312,639,Actiniaria,"Cnidaria > Hexacorallia > Actiniaria",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[728.03,1384.52,54.36]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128573
169313,639,Actiniaria,"Cnidaria > Hexacorallia > Actiniaria",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[90.82,1286.38,59.25]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128574
169314,645,caridea,"Arthropoda > Decapoda > caridea",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[5022.95,3748.78,67.4]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128575
169318,639,Actiniaria,"Cnidaria > Hexacorallia > Actiniaria",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[3187.5,2317.63,39.55]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128579
169325,639,Actiniaria,"Cnidaria > Hexacorallia > Actiniaria",52,Marin,MARCILLAT,112296,20190404T040808.826276Z.jpg,-176.5683563,-21.98913357,4,Circle,"[5153.32,45.65,58.98]","{""size"":8261132,""mimetype"":""image\/jpeg"",""width"":6000,""height"":4000,""metadata"":{""distance_to_ground"":""3.6"",""yaw"":""90.46""}}",128586
